system,layout,gran,query,selectivity,span,files_total,files_read,files_pct,n_iters,runtime_trimmed_s,runtime_median_s,runtime_min_s,answer
duckdb_parquet,L3,daily,q58,hour,1 hour,4133,4133,100.0,3,0.38484337500995025,0.38484337500995025,0.38061258298694156,54
duckdb_parquet,L3,daily,q59,hour,1 hour,4133,4133,100.0,3,0.4073869590065442,0.4073869590065442,0.3607206250017043,27
duckdb_parquet,L3,daily,q510,hour,1 hour,4133,4133,100.0,3,0.36867895899922587,0.36867895899922587,0.36724733299342915,74
duckdb_parquet,L3,daily,q511,hour,1 hour,4133,4133,100.0,3,0.3742224169836845,0.3742224169836845,0.3651474160142243,59
duckdb_parquet,L3,daily,q57,day,1 day,4133,8266,200.0,3,0.7329620829841588,0.7329620829841588,0.7316263749962673,4
duckdb_parquet,L3,daily,q58,day,1 day,4133,4133,100.0,3,0.4753332080144901,0.4753332080144901,0.46634212500066496,95
duckdb_parquet,L3,daily,q59,day,1 day,4133,4133,100.0,3,0.6958788330084644,0.6958788330084644,0.678936916985549,112
duckdb_parquet,L3,daily,q510,day,1 day,4133,4133,100.0,3,0.49689333300921135,0.49689333300921135,0.49352237500716,193
duckdb_parquet,L3,daily,q511,day,1 day,4133,4133,100.0,3,0.5080728750035632,0.5080728750035632,0.5053270419884939,162
duckdb_parquet,L3,daily,q57,week,1 week,4133,8266,200.0,3,0.7614324580063112,0.7614324580063112,0.7298814580135513,4
duckdb_parquet,L3,daily,q58,week,1 week,4133,4133,100.0,3,1.2772594580019359,1.2772594580019359,1.2652237500005867,165
duckdb_parquet,L3,daily,q59,week,1 week,4133,4133,100.0,3,3.216859416977968,3.216859416977968,3.1255316250026226,620
duckdb_parquet,L3,daily,q510,week,1 week,4133,4133,100.0,3,2.569631666992791,2.569631666992791,2.5696109580167104,342
duckdb_parquet,L3,daily,q511,week,1 week,4133,4133,100.0,3,3.1148904169967864,3.1148904169967864,3.0905945420090575,263
duckdb_parquet,L4,daily,q57,hour,1 hour,744,1488,200.0,3,0.1598904590064194,0.1598904590064194,0.15937070798827335,1
duckdb_parquet,L4,daily,q58,hour,1 hour,744,744,100.0,3,0.2056565000093542,0.2056565000093542,0.19254849999560975,43
duckdb_parquet,L4,daily,q59,hour,1 hour,744,744,100.0,3,0.16622616699896753,0.16622616699896753,0.16057599999476224,18
duckdb_parquet,L4,daily,q510,hour,1 hour,744,744,100.0,3,0.145342834002804,0.145342834002804,0.1438982920080889,62
duckdb_parquet,L4,daily,q511,hour,1 hour,744,744,100.0,3,0.14126237502205186,0.14126237502205186,0.13612470900989138,48
duckdb_parquet,L4,daily,q57,day,1 day,744,1488,200.0,3,0.3074350419919938,0.3074350419919938,0.30061662499792874,4
duckdb_parquet,L4,daily,q58,day,1 day,744,744,100.0,3,0.3261633329966571,0.3261633329966571,0.31169862498063594,95
duckdb_parquet,L4,daily,q59,day,1 day,744,744,100.0,3,0.5629387499939185,0.5629387499939185,0.5316483330097981,112
duckdb_parquet,L4,daily,q510,day,1 day,744,744,100.0,3,0.4911556250008289,0.4911556250008289,0.4674989169870969,193
duckdb_parquet,L4,daily,q511,day,1 day,744,744,100.0,3,0.5125406669976655,0.5125406669976655,0.5020558749965858,162
duckdb_parquet,L4,daily,q57,week,1 week,744,1488,200.0,3,0.9085373750131112,0.9085373750131112,0.9027076250058599,4
duckdb_parquet,L4,daily,q58,week,1 week,744,744,100.0,3,1.3924569160153624,1.3924569160153624,1.3769900419865735,165
duckdb_parquet,L4,daily,q59,week,1 week,744,744,100.0,3,3.2006772499880753,3.2006772499880753,3.045097291993443,620
duckdb_parquet,L4,daily,q510,week,1 week,744,744,100.0,3,3.128141291992506,3.128141291992506,3.0638082920049783,343
duckdb_parquet,L4,daily,q511,week,1 week,744,744,100.0,3,3.0181516250013374,3.0181516250013374,2.903834333003033,264
duckdb_parquet,LH,daily,q57,hour,1 hour,279,558,200.0,3,0.476328624994494,0.476328624994494,0.44785649998812005,4
duckdb_parquet,LH,daily,q58,hour,1 hour,279,279,100.0,3,0.39671279198955745,0.39671279198955745,0.38122133299475536,56
duckdb_parquet,LH,daily,q59,hour,1 hour,279,279,100.0,3,0.2279407499881927,0.2279407499881927,0.22475520800799131,28
duckdb_parquet,LH,daily,q510,hour,1 hour,279,279,100.0,3,0.198884666984668,0.198884666984668,0.19740879200980999,88
