system,layout,gran,query,selectivity,span,files_total,files_read,files_pct,n_iters,runtime_trimmed_s,runtime_median_s,runtime_min_s,answer
duckdb_iceberg_rest,L4,daily,q58,hour,1 hour,744,8,1.1,3,0.148,0.148,0.148,43
duckdb_iceberg_rest,L4,daily,q59,hour,1 hour,744,8,1.1,3,0.124,0.124,0.124,18
duckdb_iceberg_rest,L4,daily,q510,hour,1 hour,744,8,1.1,3,0.109,0.109,0.109,62
duckdb_iceberg_rest,L4,daily,q511,hour,1 hour,744,8,1.1,3,0.109,0.109,0.109,48
duckdb_iceberg_rest,L4,daily,q57,day,1 day,744,62,8.3,3,0.192,0.192,0.192,4
duckdb_iceberg_rest,L4,daily,q58,day,1 day,744,31,4.2,3,0.277,0.277,0.277,95
duckdb_iceberg_rest,L4,daily,q59,day,1 day,744,31,4.2,3,0.47,0.47,0.47,112
duckdb_iceberg_rest,L4,daily,q510,day,1 day,744,31,4.2,3,0.401,0.401,0.401,193
duckdb_iceberg_rest,L4,daily,q511,day,1 day,744,31,4.2,3,0.434,0.434,0.434,162
duckdb_iceberg_rest,L4,daily,q57,week,1 week,744,350,47.0,3,0.706,0.706,0.706,4
duckdb_iceberg_rest,L4,daily,q58,week,1 week,744,175,23.5,3,1.277,1.277,1.277,165
duckdb_iceberg_rest,L4,daily,q59,week,1 week,744,175,23.5,3,2.964,2.964,2.964,620
duckdb_iceberg_rest,L4,daily,q510,week,1 week,744,175,23.5,3,2.825,2.825,2.825,343
duckdb_iceberg_rest,L4,daily,q511,week,1 week,744,175,23.5,3,2.684,2.684,2.684,264
duckdb_iceberg_rest,LH,daily,q57,hour,1 hour,279,9,3.2,3,0.332,0.332,0.332,4
duckdb_iceberg_rest,LH,daily,q58,hour,1 hour,279,4,1.4,3,0.377,0.377,0.377,56
duckdb_iceberg_rest,LH,daily,q59,hour,1 hour,279,6,2.2,3,0.227,0.227,0.227,28
duckdb_iceberg_rest,LH,daily,q510,hour,1 hour,279,6,2.2,3,0.209,0.209,0.209,88
duckdb_iceberg_rest,LH,daily,q511,hour,1 hour,279,6,2.2,3,0.208,0.208,0.208,69
duckdb_iceberg_rest,LH,daily,q57,day,1 day,279,23,8.2,3,0.729,0.729,0.729,4
duckdb_iceberg_rest,LH,daily,q58,day,1 day,279,8,2.9,3,0.801,0.801,0.801,99
duckdb_iceberg_rest,LH,daily,q59,day,1 day,279,13,4.7,3,0.866,0.866,0.866,115
duckdb_iceberg_rest,LH,daily,q510,day,1 day,279,13,4.7,3,0.751,0.751,0.751,194
duckdb_iceberg_rest,LH,daily,q511,day,1 day,279,13,4.7,3,0.747,0.747,0.747,163
duckdb_iceberg_rest,LH,daily,q57,week,1 week,279,96,34.4,3,3.163,3.163,3.163,4
duckdb_iceberg_rest,LH,daily,q58,week,1 week,279,33,11.8,3,3.837,3.837,3.837,165
duckdb_iceberg_rest,LH,daily,q59,week,1 week,279,53,19.0,3,4.733,4.733,4.733,622
duckdb_iceberg_rest,LH,daily,q510,week,1 week,279,53,19.0,3,4.214,4.214,4.214,343
duckdb_iceberg_rest,LH,daily,q511,week,1 week,279,53,19.0,3,4.57,4.57,4.57,264
duckdb_iceberg_rest,L2s,compact,q57,hour,1 hour,302,19,6.3,3,0.029,0.029,0.029,2
duckdb_iceberg_rest,L2s,compact,q58,hour,1 hour,302,11,3.6,3,0.072,0.072,0.072,56
duckdb_iceberg_rest,L2s,compact,q59,hour,1 hour,302,12,4.0,3,0.052,0.052,0.052,27
duckdb_iceberg_rest,L2s,compact,q510,hour,1 hour,302,12,4.0,3,0.039,0.039,0.039,75
duckdb_iceberg_rest,L2s,compact,q511,hour,1 hour,302,12,4.0,3,0.034,0.034,0.034,60
duckdb_iceberg_rest,L2s,compact,q57,day,1 day,302,21,7.0,3,0.036,0.036,0.036,4
duckdb_iceberg_rest,L2s,compact,q58,day,1 day,302,11,3.6,3,0.188,0.188,0.188,95
duckdb_iceberg_rest,L2s,compact,q59,day,1 day,302,13,4.3,3,0.424,0.424,0.424,113
duckdb_iceberg_rest,L2s,compact,q510,day,1 day,302,13,4.3,3,0.183,0.183,0.183,193
duckdb_iceberg_rest,L2s,compact,q511,day,1 day,302,13,4.3,3,0.207,0.207,0.207,163
duckdb_iceberg_rest,L2s,compact,q57,week,1 week,302,30,9.9,3,0.038,0.038,0.038,4
duckdb_iceberg_rest,L2s,compact,q58,week,1 week,302,11,3.6,3,0.875,0.875,0.875,165
duckdb_iceberg_rest,L2s,compact,q59,week,1 week,302,18,6.0,3,2.891,2.891,2.891,620
duckdb_iceberg_rest,L2s,compact,q510,week,1 week,302,18,6.0,3,1.359,1.359,1.359,342
duckdb_iceberg_rest,L2s,compact,q511,week,1 week,302,18,6.0,3,1.586,1.586,1.586,263
duckdb_iceberg_rest,L3s,compact,q57,hour,1 hour,299,19,6.4,3,0.024,0.024,0.024,1
duckdb_iceberg_rest,L3s,compact,q58,hour,1 hour,299,11,3.7,3,0.063,0.063,0.063,54
duckdb_iceberg_rest,L3s,compact,q59,hour,1 hour,299,12,4.0,3,0.045,0.045,0.045,27
duckdb_iceberg_rest,L3s,compact,q510,hour,1 hour,299,12,4.0,3,0.029,0.029,0.029,74
duckdb_iceberg_rest,L3s,compact,q511,hour,1 hour,299,12,4.0,3,0.028,0.028,0.028,59
duckdb_iceberg_rest,L3s,compact,q57,day,1 day,299,21,7.0,3,0.029,0.029,0.029,4
duckdb_iceberg_rest,L3s,compact,q58,day,1 day,299,11,3.7,3,0.189,0.189,0.189,95
duckdb_iceberg_rest,L3s,compact,q59,day,1 day,299,13,4.3,3,0.403,0.403,0.403,112
duckdb_iceberg_rest,L3s,compact,q510,day,1 day,299,13,4.3,3,0.18,0.18,0.18,193
duckdb_iceberg_rest,L3s,compact,q511,day,1 day,299,13,4.3,3,0.206,0.206,0.206,162
duckdb_iceberg_rest,L3s,compact,q57,week,1 week,299,30,10.0,3,0.037,0.037,0.037,4
duckdb_iceberg_rest,L3s,compact,q58,week,1 week,299,11,3.7,3,0.874,0.874,0.874,165
