Building L4 for 2026-01 from L0=data/L0 → data/layouts/L4_t1h_daily
  L4: 24 hours (granularity=daily)
  L4 day=2026-01-20 hour=5 rows=612
  L4 day=2026-01-20 hour=6 rows=1389
  L4 day=2026-01-20 hour=7 rows=986
  L4 day=2026-01-20 hour=8 rows=971
  L4 day=2026-01-20 hour=9 rows=973
  L4 day=2026-01-20 hour=10 rows=1069
  L4 day=2026-01-20 hour=11 rows=1104
  L4 day=2026-01-20 hour=12 rows=1620
  L4 day=2026-01-20 hour=13 rows=1036
  L4 day=2026-01-20 hour=14 rows=1002
  L4 day=2026-01-20 hour=15 rows=990
  L4 day=2026-01-20 hour=16 rows=907
  L4 day=2026-01-20 hour=17 rows=837
  L4 day=2026-01-20 hour=18 rows=1431
  L4 day=2026-01-20 hour=19 rows=780
  L4 day=2026-01-20 hour=20 rows=703
  L4 day=2026-01-20 hour=21 rows=726
  L4 day=2026-01-20 hour=22 rows=643
  L4 day=2026-01-20 hour=23 rows=661
  L4 day=2026-01-21 hour=0 rows=2220
  L4 day=2026-01-21 hour=1 rows=577
  L4 day=2026-01-21 hour=2 rows=493
  L4 day=2026-01-21 hour=3 rows=546
  L4 day=2026-01-21 hour=4 rows=735
  L4 day=2026-01-21 hour=5 rows=837
  L4 day=2026-01-21 hour=6 rows=1463
  L4 day=2026-01-21 hour=7 rows=881
  L4 day=2026-01-21 hour=8 rows=807
  L4 day=2026-01-21 hour=9 rows=824
  L4 day=2026-01-21 hour=10 rows=818
  L4 day=2026-01-21 hour=11 rows=752
  L4 day=2026-01-21 hour=12 rows=1351
  L4 day=2026-01-21 hour=13 rows=797
  L4 day=2026-01-21 hour=14 rows=840
  L4 day=2026-01-21 hour=15 rows=790
  L4 day=2026-01-21 hour=16 rows=748
  L4 day=2026-01-21 hour=17 rows=634
  L4 day=2026-01-21 hour=18 rows=1069
  L4 day=2026-01-21 hour=19 rows=550
  L4 day=2026-01-21 hour=20 rows=502
  L4 day=2026-01-21 hour=21 rows=443
  L4 day=2026-01-21 hour=22 rows=391
  L4 day=2026-01-21 hour=23 rows=304
  L4 day=2026-01-22 hour=0 rows=1755
  L4 day=2026-01-22 hour=1 rows=302
  L4 day=2026-01-22 hour=2 rows=317
  L4 day=2026-01-22 hour=3 rows=294
  L4 day=2026-01-22 hour=4 rows=414
  L4 day=2026-01-22 hour=5 rows=433
  L4 day=2026-01-22 hour=6 rows=920
  L4 day=2026-01-22 hour=7 rows=519
  L4 day=2026-01-22 hour=8 rows=519
  L4 day=2026-01-22 hour=9 rows=499
  L4 day=2026-01-22 hour=10 rows=531
  L4 day=2026-01-22 hour=11 rows=495
  L4 day=2026-01-22 hour=12 rows=971
  L4 day=2026-01-22 hour=13 rows=502
  L4 day=2026-01-22 hour=14 rows=508
  L4 day=2026-01-22 hour=15 rows=512
  L4 day=2026-01-22 hour=16 rows=502
  L4 day=2026-01-22 hour=17 rows=446
  L4 day=2026-01-22 hour=18 rows=823
  L4 day=2026-01-22 hour=19 rows=416
  L4 day=2026-01-22 hour=20 rows=320
  L4 day=2026-01-22 hour=21 rows=342
  L4 day=2026-01-22 hour=22 rows=301
  L4 day=2026-01-22 hour=23 rows=254
  L4 day=2026-01-23 hour=0 rows=1703
  L4 day=2026-01-23 hour=1 rows=261
  L4 day=2026-01-23 hour=2 rows=290
  L4 day=2026-01-23 hour=3 rows=295
  L4 day=2026-01-23 hour=4 rows=398
  L4 day=2026-01-23 hour=5 rows=450
  L4 day=2026-01-23 hour=6 rows=928
  L4 day=2026-01-23 hour=7 rows=537
  L4 day=2026-01-23 hour=8 rows=555
  L4 day=2026-01-23 hour=9 rows=550
  L4 day=2026-01-23 hour=10 rows=494
  L4 day=2026-01-23 hour=11 rows=534
  L4 day=2026-01-23 hour=12 rows=963
  L4 day=2026-01-23 hour=13 rows=562
  L4 day=2026-01-23 hour=14 rows=534
  L4 day=2026-01-23 hour=15 rows=518
  L4 day=2026-01-23 hour=16 rows=515
  L4 day=2026-01-23 hour=17 rows=487
  L4 day=2026-01-23 hour=18 rows=873
  L4 day=2026-01-23 hour=19 rows=427
  L4 day=2026-01-23 hour=20 rows=394
  L4 day=2026-01-23 hour=21 rows=349
  L4 day=2026-01-23 hour=22 rows=339
  L4 day=2026-01-23 hour=23 rows=258
  L4 day=2026-01-24 hour=0 rows=1648
  L4 day=2026-01-24 hour=1 rows=227
  L4 day=2026-01-24 hour=2 rows=234
  L4 day=2026-01-24 hour=3 rows=243
  L4 day=2026-01-24 hour=4 rows=286
  L4 day=2026-01-24 hour=5 rows=337
  L4 day=2026-01-24 hour=6 rows=770
  L4 day=2026-01-24 hour=7 rows=454
  L4 day=2026-01-24 hour=8 rows=453
  L4 day=2026-01-24 hour=9 rows=504
  L4 day=2026-01-24 hour=10 rows=466
  L4 day=2026-01-24 hour=11 rows=436
  L4 day=2026-01-24 hour=12 rows=910
  L4 day=2026-01-24 hour=13 rows=502
  L4 day=2026-01-24 hour=14 rows=475
  L4 day=2026-01-24 hour=15 rows=480
  L4 day=2026-01-24 hour=16 rows=513
  L4 day=2026-01-24 hour=17 rows=436
  L4 day=2026-01-24 hour=18 rows=739
