### [09:12:46] build L2 daily @ 50km (tile=1000, matches original tile)
Building L2 for 2026-01 from L0=data/L0 → data/layouts_daily
  L2: 376 candidate region cells × 31 day(s) (granularity=daily)
  L2 [331/376] region=(22,133) rows=4
  L2 [332/376] region=(22,134) rows=12
  L2 [333/376] region=(23,121) rows=29
  L2 [334/376] region=(23,122) rows=59
  L2 [335/376] region=(23,123) rows=3
  L2 [336/376] region=(23,124) rows=55
  L2 [337/376] region=(23,125) rows=52
  L2 [338/376] region=(23,126) rows=30
  L2 [339/376] region=(23,127) rows=47
  L2 [340/376] region=(23,128) rows=470
  L2 [341/376] region=(23,129) rows=283
  L2 [342/376] region=(23,130) rows=90
  L2 [343/376] region=(23,131) rows=31
  L2 [344/376] region=(23,133) rows=1
  L2 [345/376] region=(23,134) rows=15
  L2 [346/376] region=(24,122) rows=15
  L2 [347/376] region=(24,123) rows=68
  L2 [348/376] region=(24,124) rows=327
  L2 [349/376] region=(24,125) rows=15
  L2 [350/376] region=(24,126) rows=23
  L2 [351/376] region=(24,127) rows=3
  L2 [352/376] region=(24,128) rows=8
  L2 [353/376] region=(24,129) rows=18
  L2 [354/376] region=(24,131) rows=67
  L2 [355/376] region=(24,132) rows=35
  L2 [356/376] region=(24,133) rows=14
  L2 [357/376] region=(25,124) rows=116
  L2 [359/376] region=(25,128) rows=1
  L2 [360/376] region=(25,129) rows=51
  L2 [361/376] region=(25,130) rows=3
  L2 [362/376] region=(25,132) rows=2
  L2 [363/376] region=(25,133) rows=141
  L2 [364/376] region=(25,134) rows=11
  L2 [366/376] region=(26,129) rows=2
  L2 [367/376] region=(26,133) rows=59
  L2 [368/376] region=(26,134) rows=81
  L2 [375/376] region=(32,129) rows=0
  L2 [376/376] region=(33,129) rows=15
[L2] 2026-01 base_rows=381713 rows=6749936 out=data/layouts_daily/L2/year=2026/month=01 total_s=2901.147
### [10:01:08] compact L2 daily -> compact
Compacting L2 for 2026-01: data/layouts_daily → data/layout_compact
  L2: 31 day(s) × 302 partition(s) → data/layout_compact
  L2 [1/302] region_x=-1/region_y=113 rows=1  sources=1
  L2 [2/302] region_x=-1/region_y=114 rows=2  sources=2
  L2 [3/302] region_x=-1/region_y=115 rows=1  sources=1
  L2 [4/302] region_x=-1/region_y=122 rows=1  sources=1
  L2 [5/302] region_x=-1/region_y=127 rows=320  sources=6
  L2 [6/302] region_x=-1/region_y=128 rows=334  sources=4
  L2 [7/302] region_x=-10/region_y=119 rows=1  sources=1
  L2 [8/302] region_x=-11/region_y=110 rows=1  sources=1
  L2 [9/302] region_x=-11/region_y=127 rows=1  sources=1
  L2 [10/302] region_x=-13/region_y=104 rows=1  sources=1
  L2 [11/302] region_x=-14/region_y=100 rows=1  sources=1
  L2 [12/302] region_x=-14/region_y=107 rows=1  sources=1
  L2 [13/302] region_x=-17/region_y=119 rows=1  sources=1
  L2 [14/302] region_x=-2/region_y=114 rows=3  sources=3
  L2 [15/302] region_x=-2/region_y=119 rows=1  sources=1
  L2 [16/302] region_x=-2/region_y=120 rows=2  sources=1
